File_Record_0052.rec ( 4370 Samples/channels ) Sample Rate :1s
Date :5/20/2026 10:16:45 AM
Time;Voie A1[°C];Voie A2[°C];Voie A3[°C];
239000.000000;36.86523;49.36218;49.02649;
240000.000000;36.83472;49.28589;49.16382;
241000.000000;37.09412;49.42322;49.62158;
242000.000000;37.39929;49.49951;49.91150;
243000.000000;37.56714;49.75891;49.80469;
244000.000000;37.23145;49.57581;49.63684;
245000.000000;37.26196;49.66736;49.68262;
246000.000000;37.24670;49.80469;49.60632;
247000.000000;37.36877;50.00305;49.59106;
248000.000000;37.23145;49.59106;49.27063;
249000.000000;37.35352;49.80469;49.27063;
250000.000000;37.59766;49.86572;49.20959;
251000.000000;37.30774;49.62158;49.08752;
252000.000000;37.23145;49.60632;49.36218;
253000.000000;36.86523;49.56055;49.17908;
254000.000000;36.77368;49.59106;49.36218;
255000.000000;37.26196;49.86572;49.80469;
256000.000000;37.29248;49.89624;49.89624;
257000.000000;37.32300;49.95728;50.12512;
258000.000000;37.53662;49.81995;50.33875;
259000.000000;37.42981;49.80469;50.64392;
260000.000000;37.38403;49.80469;50.82703;
261000.000000;37.42981;49.80469;50.85754;
262000.000000;37.18567;49.46899;50.56763;
263000.000000;36.92627;49.53003;50.79651;
264000.000000;37.17041;49.59106;50.88806;
265000.000000;36.94153;49.08752;50.67444;
266000.000000;37.76550;49.34692;50.97961;
267000.000000;36.43799;48.75183;50.67444;
268000.000000;36.52954;48.64502;50.70496;
269000.000000;36.59058;48.52295;50.32349;
270000.000000;36.07178;48.18726;49.91150;
271000.000000;36.33118;48.47717;50.17090;
272000.000000;36.16333;48.64502;50.17090;
273000.000000;36.28540;48.58398;50.10986;
274000.000000;36.14807;48.64502;50.23193;
275000.000000;36.04126;48.44666;50.29297;
276000.000000;36.20911;48.75183;50.50659;
277000.000000;36.19385;48.69080;50.10986;
278000.000000;36.33118;49.04175;50.46082;
279000.000000;36.36169;49.10278;50.56763;
280000.000000;36.84998;48.98071;50.41504;
281000.000000;36.89575;49.16382;50.72021;
282000.000000;36.80420;48.99597;50.97961;
283000.000000;36.69739;49.13330;50.81177;
284000.000000;36.83472;49.37744;50.93384;
285000.000000;36.84998;49.28589;50.94910;
286000.000000;36.95679;49.20959;51.28479;
287000.000000;37.32300;49.80469;51.20850;
288000.000000;37.41455;49.59106;51.45264;
289000.000000;37.30774;49.75891;51.60522;
290000.000000;37.58240;49.95728;51.49841;
291000.000000;37.53662;49.83521;51.42212;
292000.000000;38.10120;49.91150;51.33057;
293000.000000;38.13171;50.33875;51.42212;
294000.000000;38.05542;50.18616;51.14746;
295000.000000;38.07068;50.50659;51.10168;
